,Name,Status,Population,Address,location,point,latitude,longitude,altitude
97,Ravine Sable,Semi-Urban Community,696,"Ravine Sable, Trinidad and Tobago","Ravine Sable, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.5037711, -61.3557704, 0.0)",10.5037711,-61.3557704,0.0
98,Riversdale,Urban Community,663,"Riversdale, Trinidad and Tobago",,,,,
99,San Pedro [↑ partly also in Mayaro/Rio Claro],Semi-Urban Community,2931,"San Pedro [↑ partly also in Mayaro/Rio Claro], Trinidad and Tobago",,,,,
100,San Raphael/Brazil,Semi-Urban Community,5383,"San Raphael/Brazil, Trinidad and Tobago",,,,,
101,Springland/San Fabian,Urban Community,981,"Springland/San Fabian, Trinidad and Tobago",,,,,
102,Spring Village,Urban Community,1120,"Spring Village, Trinidad and Tobago",Trinidad and Tobago,"(10.8677845, -60.9821067, 0.0)",10.8677845,-60.9821067,0.0
103,Spring Village,Urban Community,1541,"Spring Village, Trinidad and Tobago",Trinidad and Tobago,"(10.8677845, -60.9821067, 0.0)",10.8677845,-60.9821067,0.0
104,St. Andrew's Village,Urban Community,5250,"St. Andrew's Village, Trinidad and Tobago",,,,,
105,St. Margaret,Urban Community,2335,"St. Margaret, Trinidad and Tobago","Princess Margaret Street, San Fernando, 1898, Trinidad and Tobago","(10.2674497, -61.4579992, 0.0)",10.2674497,-61.4579992,0.0
106,St. Mary's Village,Urban Community,2240,"St. Mary's Village, Trinidad and Tobago","St. Mary's, Paria Main Road, Toco, Trinidad and Tobago","(10.8678055, -60.9820892, 0.0)",10.8678055,-60.9820892,0.0
107,Sum Sum Hill,Urban Community,890,"Sum Sum Hill, Trinidad and Tobago","Sum Sum Hill, Soledad, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.3686017, -61.4432857, 0.0)",10.3686017,-61.4432857,0.0
108,Tabaquite,Rural Community,3183,"Tabaquite, Trinidad and Tobago","Tabaquite, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.3791126, -61.3250075, 0.0)",10.3791126,-61.3250075,0.0
109,Talparo,Semi-Urban Community,1661,"Talparo, Trinidad and Tobago","Talparo, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.5165839, -61.268998, 0.0)",10.5165839,-61.268998,0.0
110,Tamana Road,Rural Community,225,"Tamana Road, Trinidad and Tobago","Tamana Road, Talparo, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.5125743, -61.2693581, 0.0)",10.5125743,-61.2693581,0.0
111,Todd's Road,Semi-Urban Community,1741,"Todd's Road, Trinidad and Tobago","Todds Road, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.4818654, -61.33157, 0.0)",10.4818654,-61.33157,0.0
112,Todd's Station,Semi-Urban Community,731,"Todd's Station, Trinidad and Tobago","Todds Road, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.4818654, -61.33157, 0.0)",10.4818654,-61.33157,0.0
113,Tortuga,Rural Community,1013,"Tortuga, Trinidad and Tobago","Caratal Tortuga Road, Bonne Aventure, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.3518094, -61.4074032, 0.0)",10.3518094,-61.4074032,0.0
114,Trintoc (Pointe-a-Pierre),Semi-Urban Community,460,"Trintoc (Pointe-a-Pierre), Trinidad and Tobago",,,,,
115,Union Village,Urban Community,1209,"Union Village, Trinidad and Tobago","Union Village, La Brea, Siparia, Trinidad and Tobago","(10.2116164, -61.6329979, 0.0)",10.2116164,-61.6329979,0.0
116,Warren Village,Semi-Urban Community,493,"Warren Village, Trinidad and Tobago","Warren Road Recreational Gorund, Warrensville, 00000, Trinidad and Tobago","(10.5779858, -61.3947744, 0.0)",10.5779858,-61.3947744,0.0
117,Waterloo,Urban Community,774,"Waterloo, Trinidad and Tobago","Waterloo, Couva-Tabaquite-Talparo, 1868, Trinidad and Tobago","(10.4788605, -61.4674863, 0.0)",10.4788605,-61.4674863,0.0
118,Welcome,Rural Community,2162,"Welcome, Trinidad and Tobago","Welcome Road, Ravine Sable, Couva-Tabaquite-Talparo, 00000, Trinidad and Tobago","(10.5286289, -61.3535689, 0.0)",10.5286289,-61.3535689,0.0
119,White Land,Urban Community,699,"White Land, Trinidad and Tobago",,,,,
120,Diego Martin,Region,102957,"Diego Martin, Trinidad and Tobago","Diego Martin, Port of Spain, 17005, Trinidad and Tobago","(10.7358489, -61.558498, 0.0)",10.7358489,-61.558498,0.0
121,Alyce Glen,Urban Community,788,"Alyce Glen, Trinidad and Tobago","Alyce Glen, Federation Park, Port of Spain, Trinidad and Tobago","(10.69587685, -61.54951945368306, 0.0)",10.69587685,-61.54951945368306,0.0
122,Bagatelle,Urban Community,5716,"Bagatelle, Trinidad and Tobago","Bagatelle Road, Barataria, San Juan, 120110, Trinidad and Tobago","(10.661947, -61.4539039, 0.0)",10.661947,-61.4539039,0.0
123,Bayshore,Urban Community,508,"Bayshore, Trinidad and Tobago",,,,,
124,Beau Pres,Urban Community,1166,"Beau Pres, Trinidad and Tobago","Beau Pres Road, Saint Ann's, Port of Spain, 17005, Trinidad and Tobago","(10.7190891, -61.516999, 0.0)",10.7190891,-61.516999,0.0
125,Big Yard,Urban Community,929,"Big Yard, Trinidad and Tobago","Big Yard, Point Cumana, Trinidad and Tobago","(10.6842323, -61.5782257, 0.0)",10.6842323,-61.5782257,0.0
126,Blue Basin,Urban Community,3447,"Blue Basin, Trinidad and Tobago","Blue Basin Road, Diego Martin, 17005, Trinidad and Tobago","(10.7373417, -61.5545805, 0.0)",10.7373417,-61.5545805,0.0
127,Blue Range,Urban Community,922,"Blue Range, Trinidad and Tobago","Blue Waters Products Ltd. Witluv Farms, El Dorado, 686, Trinidad and Tobago","(10.6309121, -61.3740962, 0.0)",10.6309121,-61.3740962,0.0
128,Boissiere,Urban Community,1248,"Boissiere, Trinidad and Tobago","Boissiere Village R.C. Primary School, 1, Harold Street, Ellerslie Park, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.67682655, -61.520945358701084, 0.0)",10.67682655,-61.520945358701084,0.0
129,Cameron Road,Rural Community,1028,"Cameron Road, Trinidad and Tobago","Cameron Road, Federation Park, Port of Spain, 17005, Trinidad and Tobago","(10.7164686, -61.5438546, 0.0)",10.7164686,-61.5438546,0.0
130,Carenage,Urban Community,5625,"Carenage, Trinidad and Tobago","Carenage, Port of Spain, Trinidad and Tobago","(10.6881668, -61.5928155, 0.0)",10.6881668,-61.5928155,0.0
131,Carrera Island,Islands,301,"Carrera Island, Trinidad and Tobago","Carrera Island, Port of Spain, Trinidad and Tobago","(10.6617681, -61.62370941626506, 0.0)",10.6617681,-61.62370941626506,0.0
132,Chaguaramas,Semi-Urban Community,262,"Chaguaramas, Trinidad and Tobago","Chaguaramas, Port of Spain, Trinidad and Tobago","(10.6856952, -61.6356337, 0.0)",10.6856952,-61.6356337,0.0
133,Champ Elysees,Urban Community,928,"Champ Elysees, Trinidad and Tobago",,,,,
134,Covigne,Urban Community,3996,"Covigne, Trinidad and Tobago","Covigne Road, Diego Martin, 17005, Trinidad and Tobago","(10.7263565, -61.572538, 0.0)",10.7263565,-61.572538,0.0
